Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
08/01/2024;PAGAMENTO DUPLICATA N§ 624924 ;92;0124-00000948;542,18;;625.487,34C
08/01/2024;PAGAMENTO DUPLICATA N§ 626883 ;92;0124-00000954;49;;625.438,34C
08/01/2024;PAGAMENTO DUPLICATA N§ 626977 ;92;0124-00000955;150,98;;625.287,36C
08/01/2024;PAGAMENTO DUPLICATA N§ 627278 ;92;0124-00000959;591,18;;624.696,18C
09/01/2024;PAGAMENTO DUPLICATA N§ 625931 ;92;0124-00000951;301,28;;624.394,90C
09/01/2024;PAGAMENTO DUPLICATA N§ 627640 ;92;0124-00000961;76,36;;624.318,54C
09/01/2024;PAGAMENTO DUPLICATA N§ 627658 ;92;0124-00000962;330,53;;623.988,01C
09/01/2024;PAGAMENTO DUPLICATA N§ 628003 ;92;0124-00000965;62,62;;623.925,39C
09/01/2024;PAGAMENTO DUPLICATA N§ 628076 ;92;0124-00000967;726,28;;623.199,11C
09/01/2024;NOTA FISCAL N§ 654622 ;3152;0124-00001385;;66,65;623.265,76C
09/01/2024;NOTA FISCAL N§ 652996 ;3152;0124-00001423;;346,96;623.612,72C
09/01/2024;NOTA FISCAL N§ 654438 ;3152;0124-00001426;;567,47;624.180,19C
09/01/2024;NOTA FISCAL N§ 654289 ;3152;0124-00001433;;89,22;624.269,41C
10/01/2024;PAGAMENTO DUPLICATA N§ 619083 ;92;0124-00000935;52,16;;624.217,25C
10/01/2024;PAGAMENTO DUPLICATA N§ 619242 ;92;0124-00000936;442,4;;623.774,85C
10/01/2024;NOTA FISCAL N§ 654884 ;3152;0124-00001398;;42,34;623.817,19C
10/01/2024;NOTA FISCAL N§ 655091 ;3152;0124-00001435;;102,82;623.920,01C
10/01/2024;NOTA FISCAL N§ 655006 ;3152;0124-00001438;;1.106,55;625.026,56C
10/01/2024;NOTA FISCAL N§ 654889 ;3152;0124-00001480;;194,38;625.220,94C
11/01/2024;PAGAMENTO DUPLICATA N§ 625287 ;92;0124-00000949;457,14;;624.763,80C
11/01/2024;PAGAMENTO DUPLICATA N§ 628477 ;92;0124-00000971;38,95;;624.724,85C
11/01/2024;PAGAMENTO DUPLICATA N§ 629009 ;92;0124-00000973;2.720,67;;622.004,18C
11/01/2024;PAGAMENTO DUPLICATA N§ 629042 ;92;0124-00000974;291,88;;621.712,30C
11/01/2024;PAGAMENTO DUPLICATA N§ 629148 ;92;0124-00000976;136,09;;621.576,21C
11/01/2024;NOTA FISCAL N§ 655500 ;3152;0124-00001411;;319,89;621.896,10C
11/01/2024;NOTA FISCAL N§ 655413 ;3152;0124-00001483;;41,31;621.937,41C
12/01/2024;PAGAMENTO DUPLICATA N§ 627034 ;92;0124-00000956;173,79;;621.763,62C
12/01/2024;PAGAMENTO DUPLICATA N§ 627181 ;92;0124-00000957;280,71;;621.482,91C
12/01/2024;PAGAMENTO DUPLICATA N§ 627198 ;92;0124-00000958;1.087,60;;620.395,31C
12/01/2024;PAGAMENTO DUPLICATA N§ 627499 ;92;0124-00000960;241,85;;620.153,46C
12/01/2024;PAGAMENTO DUPLICATA N§ 629609 ;92;0124-00000980;575,48;;619.577,98C
12/01/2024;PAGAMENTO DUPLICATA N§ 629617 ;92;0124-00000981;609,93;;618.968,05C
12/01/2024;PAGAMENTO DUPLICATA N§ 629901 ;92;0124-00000982;411,15;;618.556,90C
12/01/2024;NOTA FISCAL N§ 655766 ;3152;0124-00001395;;223,69;618.780,59C
12/01/2024;NOTA FISCAL N§ 655887 ;3152;0124-00001439;;830,48;619.611,07C
13/01/2024;NOTA FISCAL N§ 656205 ;3152;0124-00001413;;255,78;619.866,85C
13/01/2024;NOTA FISCAL N§ 656277 ;3152;0124-00001417;;1.000,15;620.867,00C
13/01/2024;NOTA FISCAL N§ 656098 ;3152;0124-00001448;;62,21;620.929,21C
13/01/2024;NOTA FISCAL N§ 656103 ;3152;0124-00001470;;68,68;620.997,89C
15/01/2024;PAGAMENTO DUPLICATA N§ 627831 ;92;0124-00000963;664,09;;620.333,80C
15/01/2024;PAGAMENTO DUPLICATA N§ 627920 ;92;0124-00000964;993,17;;619.340,63C
15/01/2024;PAGAMENTO DUPLICATA N§ 628045 ;92;0124-00000966;206,64;;619.133,99C
15/01/2024;PAGAMENTO DUPLICATA N§ 628108 ;92;0124-00000968;108,68;;619.025,31C
15/01/2024;PAGAMENTO DUPLICATA N§ 628707 ;92;0124-00000972;257,61;;618.767,70C
15/01/2024;PAGAMENTO DUPLICATA N§ 629114 ;92;0124-00000975;176,58;;618.591,12C
15/01/2024;PAGAMENTO DUPLICATA N§ 630417 ;92;0124-00000988;118,41;;618.472,71C
16/01/2024;PAGAMENTO DUPLICATA N§ 629283 ;92;0124-00000977;68,1;;618.404,61C
16/01/2024;PAGAMENTO DUPLICATA N§ 629367 ;92;0124-00000978;302,02;;618.102,59C
16/01/2024;PAGAMENTO DUPLICATA N§ 629566 ;92;0124-00000979;862,51;;617.240,08C
16/01/2024;PAGAMENTO DUPLICATA N§ 629975 ;92;0124-00000983;183,13;;617.056,95C
16/01/2024;PAGAMENTO DUPLICATA N§ 631171 ;92;0124-00000992;516;;616.540,95C
16/01/2024;NOTA FISCAL N§ 656624 ;3152;0124-00001388;;143,42;616.684,37C
16/01/2024;NOTA FISCAL N§ 656507 ;3152;0124-00001397;;267,14;616.951,51C
16/01/2024;NOTA FISCAL N§ 656625 ;3152;0124-00001407;;380,29;617.331,80C
16/01/2024;NOTA FISCAL N§ 656526 ;3152;0124-00001422;;640,12;617.971,92C
16/01/2024;NOTA FISCAL N§ 656557 ;3152;0124-00001442;;41,62;618.013,54C
16/01/2024;NOTA FISCAL N§ 656624 ;3152;0124-00001452;;390,16;618.403,70C
17/01/2024;PAGAMENTO DUPLICATA N§ 632015 ;92;0124-00000994;127,6;;618.276,10C
17/01/2024;NOTA FISCAL N§ 656986 ;3152;0124-00001419;;398,99;618.675,09C
17/01/2024;NOTA FISCAL N§ 656993 ;3152;0124-00001432;;91,88;618.766,97C
17/01/2024;NOTA FISCAL N§ 657292 ;3152;0124-00001440;;961,33;619.728,30C
17/01/2024;NOTA FISCAL N§ 657256 ;3152;0124-00001441;;996,91;620.725,21C
17/01/2024;NOTA FISCAL N§ 656934 ;3152;0124-00001446;;398,06;621.123,27C
17/01/2024;NOTA FISCAL N§ 656891 ;3152;0124-00001461;;28,94;621.152,21C
17/01/2024;NOTA FISCAL N§ 657770 ;3152;0124-00001464;;63,74;621.215,95C
17/01/2024;NOTA FISCAL N§ 657632 ;3152;0124-00001478;;515,47;621.731,42C
18/01/2024;PAGAMENTO DUPLICATA N§ 632318 ;92;0124-00000996;482,76;;621.248,66C
18/01/2024;NOTA FISCAL N§ 657926 ;3152;0124-00001387;;115,56;621.364,22C
18/01/2024;NOTA FISCAL N§ 657965 ;3152;0124-00001390;;68,34;621.432,56C
18/01/2024;NOTA FISCAL N§ 657926 ;3152;0124-00001394;;84,66;621.517,22C
18/01/2024;NOTA FISCAL N§ 657953 ;3152;0124-00001399;;87,26;621.604,48C
18/01/2024;NOTA FISCAL N§ 657859 ;3152;0124-00001401;;132,15;621.736,63C
18/01/2024;NOTA FISCAL N§ 657844 ;3152;0124-00001402;;580,86;622.317,49C
18/01/2024;NOTA FISCAL N§ 657986 ;3152;0124-00001403;;735,34;623.052,83C
18/01/2024;NOTA FISCAL N§ 657851 ;3152;0124-00001405;;760,26;623.813,09C
18/01/2024;NOTA FISCAL N§ 657922 ;3152;0124-00001409;;978,01;624.791,10C
18/01/2024;NOTA FISCAL N§ 657807 ;3152;0124-00001421;;359,77;625.150,87C
18/01/2024;NOTA FISCAL N§ 657971 ;3152;0124-00001427;;709,48;625.860,35C
18/01/2024;NOTA FISCAL N§ 657945 ;3152;0124-00001434;;149,92;626.010,27C
18/01/2024;NOTA FISCAL N§ 658046 ;3152;0124-00001437;;213,18;626.223,45C
18/01/2024;NOTA FISCAL N§ 656965 ;3152;0124-00001445;;109,53;626.332,98C
19/01/2024;PAGAMENTO DUPLICATA N§ 630043 ;92;0124-00000984;97,96;;626.235,02C
19/01/2024;PAGAMENTO DUPLICATA N§ 630049 ;92;0124-00000985;68,1;;626.166,92C
19/01/2024;PAGAMENTO DUPLICATA N§ 630154 ;92;0124-00000986;192,79;;625.974,13C
19/01/2024;PAGAMENTO DUPLICATA N§ 630172 ;92;0124-00000987;187,58;;625.786,55C
19/01/2024;PAGAMENTO DUPLICATA N§ 630512 ;92;0124-00000989;275,43;;625.511,12C
19/01/2024;PAGAMENTO DUPLICATA N§ 632627 ;92;0124-00000997;99,66;;625.411,46C
19/01/2024;PAGAMENTO DUPLICATA N§ 632744 ;92;0124-00000998;247,39;;625.164,07C
19/01/2024;PAGAMENTO DUPLICATA N§ 632978 ;92;0124-00000999;461,04;;624.703,03C
19/01/2024;NOTA FISCAL N§ 658301 ;3152;0124-00001386;;18,29;624.721,32C
19/01/2024;NOTA FISCAL N§ 658798 ;3152;0124-00001408;;157,13;624.878,45C
19/01/2024;NOTA FISCAL N§ 658298 ;3152;0124-00001420;;50,69;624.929,14C
19/01/2024;NOTA FISCAL N§ 658284 ;3152;0124-00001424;;195,27;625.124,41C
19/01/2024;NOTA FISCAL N§ 658748 ;3152;0124-00001447;;1.706,47;626.830,88C
19/01/2024;NOTA FISCAL N§ 658628 ;3152;0124-00001456;;178,2;627.009,08C
19/01/2024;NOTA FISCAL N§ 658301 ;3152;0124-00001458;;62,9;627.071,98C
19/01/2024;NOTA FISCAL N§ 658818 ;3152;0124-00001468;;350,09;627.422,07C
19/01/2024;NOTA FISCAL N§ 658418 ;3152;0124-00001471;;570,12;627.992,19C
19/01/2024;NOTA FISCAL N§ 658804 ;3152;0124-00001475;;89,22;628.081,41C
19/01/2024;NOTA FISCAL N§ 658679 ;3152;0124-00001479;;232,86;628.314,27C
20/01/2024;NOTA FISCAL N§ 659139 ;3152;0124-00001392;;149,92;628.464,19C
20/01/2024;NOTA FISCAL N§ 659269 ;3152;0124-00001406;;97,87;628.562,06C
20/01/2024;NOTA FISCAL N§ 659044 ;3152;0124-00001416;;94,37;628.656,43C
20/01/2024;NOTA FISCAL N§ 659219 ;3152;0124-00001428;;255,48;628.911,91C
22/01/2024;PAGAMENTO DUPLICATA N§ 631060 ;92;0124-00000990;619,88;;628.292,03C
22/01/2024;PAGAMENTO DUPLICATA N§ 631066 ;92;0124-00000991;782,62;;627.509,41C
22/01/2024;PAGAMENTO DUPLICATA N§ 631615 ;92;0124-00000993;275,88;;627.233,53C
22/01/2024;PAGAMENTO DUPLICATA N§ 632188 ;92;0124-00000995;253,02;;626.980,51C
22/01/2024;PAGAMENTO DUPLICATA N§ 633656 ;92;0124-00001001;56,45;;626.924,06C
23/01/2024;PAGAMENTO DUPLICATA N§ 634097 ;92;0124-00001004;575,03;;626.349,03C
23/01/2024;NOTA FISCAL N§ 660091 ;3152;0124-00001396;;59,11;626.408,14C
23/01/2024;NOTA FISCAL N§ 659390 ;3152;0124-00001400;;752,24;627.160,38C
23/01/2024;NOTA FISCAL N§ 659981 ;3152;0124-00001436;;977;628.137,38C
23/01/2024;NOTA FISCAL N§ 659924 ;3152;0124-00001460;;59,23;628.196,61C
24/01/2024;PAGAMENTO DUPLICATA N§ 626240 ;92;0124-00000952;1.213,17;;626.983,44C
24/01/2024;PAGAMENTO DUPLICATA N§ 635157 ;92;0124-00001006;496,7;;626.486,74C
24/01/2024;NOTA FISCAL N§ 660312 ;3152;0124-00001391;;81,74;626.568,48C
24/01/2024;NOTA FISCAL N§ 660496 ;3152;0124-00001410;;54,33;626.622,81C
24/01/2024;NOTA FISCAL N§ 660312 ;3152;0124-00001415;;59,11;626.681,92C
24/01/2024;NOTA FISCAL N§ 660463 ;3152;0124-00001418;;292,88;626.974,80C
24/01/2024;NOTA FISCAL N§ 660512 ;3152;0124-00001444;;207,35;627.182,15C
24/01/2024;NOTA FISCAL N§ 660383 ;3152;0124-00001455;;267,65;627.449,80C
24/01/2024;NOTA FISCAL N§ 660489 ;3152;0124-00001476;;1.888,02;629.337,82C
25/01/2024;PAGAMENTO DUPLICATA N§ 635514 ;92;0124-00001007;55,01;;629.282,81C
25/01/2024;PAGAMENTO DUPLICATA N§ 635544 ;92;0124-00001008;339,21;;628.943,60C
25/01/2024;PAGAMENTO DUPLICATA N§ 635612 ;92;0124-00001009;1.646,34;;627.297,26C
25/01/2024;PAGAMENTO DUPLICATA N§ 635614 ;92;0124-00001010;3.128,44;;624.168,82C
25/01/2024;PAGAMENTO DUPLICATA N§ 635620 ;92;0124-00001011;269,04;;623.899,78C
25/01/2024;NOTA FISCAL N§ 660807 ;3152;0124-00001431;;139,04;624.038,82C
26/01/2024;PAGAMENTO DUPLICATA N§ 633831 ;92;0124-00001002;173,12;;623.865,70C
26/01/2024;PAGAMENTO DUPLICATA N§ 635679 ;92;0124-00001012;50,18;;623.815,52C
26/01/2024;NOTA FISCAL N§ 661524 ;3152;0124-00001393;;157,13;623.972,65C
26/01/2024;NOTA FISCAL N§ 661366 ;3152;0124-00001414;;224,63;624.197,28C
26/01/2024;NOTA FISCAL N§ 661543 ;3152;0124-00001430;;80,36;624.277,64C
26/01/2024;NOTA FISCAL N§ 661387 ;3152;0124-00001449;;143,91;624.421,55C
26/01/2024;NOTA FISCAL N§ 661640 ;3152;0124-00001454;;1.049,18;625.470,73C
26/01/2024;NOTA FISCAL N§ 661351 ;3152;0124-00001473;;75,06;625.545,79C
26/01/2024;NOTA FISCAL N§ 661599 ;3152;0124-00001484;;583,76;626.129,55C
28/01/2024;NOTA FISCAL N§ 661898 ;3152;0124-00001384;;192,49;626.322,04C
28/01/2024;NOTA FISCAL N§ 662044 ;3152;0124-00001412;;437,83;626.759,87C
28/01/2024;NOTA FISCAL N§ 661913 ;3152;0124-00001450;;93,65;626.853,52C
28/01/2024;NOTA FISCAL N§ 661881 ;3152;0124-00001474;;51,96;626.905,48C
28/01/2024;NOTA FISCAL N§ 661781 ;3152;0124-00001482;;252,25;627.157,73C
29/01/2024;PAGAMENTO DUPLICATA N§ 628277 ;92;0124-00000969;29,97;;627.127,76C
29/01/2024;PAGAMENTO DUPLICATA N§ 628311 ;92;0124-00000970;818,4;;626.309,36C
29/01/2024;PAGAMENTO DUPLICATA N§ 633633 ;92;0124-00001000;96,64;;626.212,72C
29/01/2024;PAGAMENTO DUPLICATA N§ 635040 ;92;0124-00001005;503,79;;625.708,93C
29/01/2024;PAGAMENTO DUPLICATA N§ 636662 ;92;0124-00001013;1.684,21;;624.024,72C
29/01/2024;PAGAMENTO DUPLICATA N§ 636778 ;92;0124-00001014;341,2;;623.683,52C
30/01/2024;PAGAMENTO DUPLICATA N§ 633865 ;92;0124-00001003;14,39;;623.669,13C
30/01/2024;NOTA FISCAL N§ 662642 ;3152;0124-00001429;;562,98;624.232,11C
30/01/2024;NOTA FISCAL N§ 662783 ;3152;0124-00001459;;34,87;624.266,98C
30/01/2024;NOTA FISCAL N§ 662553 ;3152;0124-00001462;;90,18;624.357,16C
30/01/2024;NOTA FISCAL N§ 662856 ;3152;0124-00001466;;308,24;624.665,40C
30/01/2024;NOTA FISCAL N§ 662721 ;3152;0124-00001467;;357,45;625.022,85C
31/01/2024;PAGAMENTO DUPLICATA N§ 638534 ;92;0124-00001015;260,95;;624.761,90C
31/01/2024;NOTA FISCAL N§ 663006 ;3152;0124-00001477;;129,86;624.891,76C
01/02/2024;PAGAMENTO DUPLICATA N§ 638771 ;92;0224-00000829;226,61;;624.665,15C
01/02/2024;PAGAMENTO DUPLICATA N§ 638918 ;92;0224-00000830;68,07;;624.597,08C
01/02/2024;PAGAMENTO DUPLICATA N§ 638962 ;92;0224-00000832;281,6;;624.315,48C
01/02/2024;PAGAMENTO DUPLICATA N§ 638978 ;92;0224-00000833;385,82;;623.929,66C
01/02/2024;PAGAMENTO DUPLICATA N§ 639018 ;92;0224-00000835;388,07;;623.541,59C
01/02/2024;PAGAMENTO DUPLICATA N§ 639033 ;92;0224-00000836;94,55;;623.447,04C
01/02/2024;PAGAMENTO DUPLICATA N§ 639072 ;92;0224-00000837;90,61;;623.356,43C
01/02/2024;PAGAMENTO DUPLICATA N§ 639146 ;92;0224-00000838;276,35;;623.080,08C
01/02/2024;PAGAMENTO DUPLICATA N§ 639220 ;92;0224-00000839;257,31;;622.822,77C
01/02/2024;PAGAMENTO DUPLICATA N§ 639295 ;92;0224-00000841;1.605,29;;621.217,48C
01/02/2024;PAGAMENTO DUPLICATA N§ 639414 ;92;0224-00000843;756,44;;620.461,04C
01/02/2024;NOTA FISCAL N§ 663866 ;3152;0224-00001321;;649;621.110,04C
01/02/2024;NOTA FISCAL N§ 663491 ;3152;0224-00001325;;27,43;621.137,47C
01/02/2024;NOTA FISCAL N§ 663565 ;3152;0224-00001346;;206,31;621.343,78C
01/02/2024;NOTA FISCAL N§ 663901 ;3152;0224-00001349;;3.015,71;624.359,49C
01/02/2024;NOTA FISCAL N§ 663549 ;3152;0224-00001359;;363,66;624.723,15C
01/02/2024;NOTA FISCAL N§ 663491 ;3152;0224-00001368;;394,4;625.117,55C
02/02/2024;PAGAMENTO DUPLICATA N§ 636395 ;92;0224-00000819;726,49;;624.391,06C
02/02/2024;PAGAMENTO DUPLICATA N§ 636529 ;92;0224-00000820;1.523,19;;622.867,87C
02/02/2024;PAGAMENTO DUPLICATA N§ 639989 ;92;0224-00000848;599,92;;622.267,95C
02/02/2024;PAGAMENTO DUPLICATA N§ 640114 ;92;0224-00000850;217,21;;622.050,74C
02/02/2024;PAGAMENTO DUPLICATA N§ 640165 ;92;0224-00000852;345,82;;621.704,92C
02/02/2024;PAGAMENTO DUPLICATA N§ 640234 ;92;0224-00000853;280,88;;621.424,04C
02/02/2024;NOTA FISCAL N§ 664309 ;3152;0224-00001369;;85,39;621.509,43C
02/02/2024;NOTA FISCAL N§ 664263 ;3152;0224-00001375;;849,11;622.358,54C
05/02/2024;PAGAMENTO DUPLICATA N§ 630601 ;92;0224-00000810;248,08;;622.110,46C
05/02/2024;PAGAMENTO DUPLICATA N§ 631648 ;92;0224-00000811;2.100,31;;620.010,15C
05/02/2024;PAGAMENTO DUPLICATA N§ 631666 ;92;0224-00000812;549,79;;619.460,36C
05/02/2024;PAGAMENTO DUPLICATA N§ 631779 ;92;0224-00000813;142,38;;619.317,98C
05/02/2024;PAGAMENTO DUPLICATA N§ 631809 ;92;0224-00000814;44,97;;619.273,01C
05/02/2024;PAGAMENTO DUPLICATA N§ 637328 ;92;0224-00000821;2.105,98;;617.167,03C
05/02/2024;PAGAMENTO DUPLICATA N§ 637339 ;92;0224-00000822;896,09;;616.270,94C
05/02/2024;PAGAMENTO DUPLICATA N§ 637866 ;92;0224-00000824;46,25;;616.224,69C
05/02/2024;PAGAMENTO DUPLICATA N§ 637878 ;92;0224-00000825;506,34;;615.718,35C
05/02/2024;PAGAMENTO DUPLICATA N§ 637942 ;92;0224-00000826;300,99;;615.417,36C
05/02/2024;PAGAMENTO DUPLICATA N§ 638004 ;92;0224-00000827;1.600,29;;613.817,07C
05/02/2024;PAGAMENTO DUPLICATA N§ 638129 ;92;0224-00000828;868,61;;612.948,46C
05/02/2024;PAGAMENTO DUPLICATA N§ 638938 ;92;0224-00000831;101,07;;612.847,39C
05/02/2024;PAGAMENTO DUPLICATA N§ 638996 ;92;0224-00000834;645,02;;612.202,37C
05/02/2024;PAGAMENTO DUPLICATA N§ 639285 ;92;0224-00000840;1.117,69;;611.084,68C
05/02/2024;PAGAMENTO DUPLICATA N§ 639381 ;92;0224-00000842;588,32;;610.496,36C
05/02/2024;PAGAMENTO DUPLICATA N§ 639627 ;92;0224-00000844;374,44;;610.121,92C
05/02/2024;PAGAMENTO DUPLICATA N§ 640919 ;92;0224-00000856;85,33;;610.036,59C
05/02/2024;PAGAMENTO DUPLICATA N§ 640941 ;92;0224-00000857;203,48;;609.833,11C
05/02/2024;PAGAMENTO DUPLICATA N§ 641194 ;92;0224-00000858;1.310,40;;608.522,71C
05/02/2024;PAGAMENTO DUPLICATA N§ 641204 ;92;0224-00000859;42,83;;608.479,88C
05/02/2024;PAGAMENTO DUPLICATA N§ 641250 ;92;0224-00000860;362,06;;608.117,82C
06/02/2024;PAGAMENTO DUPLICATA N§ 637540 ;92;0224-00000823;4.088,95;;604.028,87C
06/02/2024;PAGAMENTO DUPLICATA N§ 639792 ;92;0224-00000845;1.434,92;;602.593,95C
06/02/2024;PAGAMENTO DUPLICATA N§ 639868 ;92;0224-00000846;335,48;;602.258,47C
06/02/2024;PAGAMENTO DUPLICATA N§ 639873 ;92;0224-00000847;182,73;;602.075,74C
06/02/2024;PAGAMENTO DUPLICATA N§ 640107 ;92;0224-00000849;652;;601.423,74C
06/02/2024;PAGAMENTO DUPLICATA N§ 640146 ;92;0224-00000851;871,01;;600.552,73C
06/02/2024;PAGAMENTO DUPLICATA N§ 641631 ;92;0224-00000862;54,23;;600.498,50C
06/02/2024;PAGAMENTO DUPLICATA N§ 641806 ;92;0224-00000863;86,25;;600.412,25C
06/02/2024;PAGAMENTO DUPLICATA N§ 641863 ;92;0224-00000865;261,07;;600.151,18C
06/02/2024;PAGAMENTO DUPLICATA N§ 641970 ;92;0224-00000867;49,78;;600.101,40C
06/02/2024;PAGAMENTO DUPLICATA N§ 642159 ;92;0224-00000868;84,8;;600.016,60C
06/02/2024;NOTA FISCAL N§ 665158 ;3152;0224-00001361;;604,1;600.620,70C
06/02/2024;NOTA FISCAL N§ 665567 ;3152;0224-00001389;;617,42;601.238,12C
07/02/2024;PAGAMENTO DUPLICATA N§ 632675 ;92;0224-00000815;38,57;;601.199,55C
07/02/2024;PAGAMENTO DUPLICATA N§ 642743 ;92;0224-00000870;1.045,48;;600.154,07C
07/02/2024;NOTA FISCAL N§ 665990 ;3152;0224-00001330;;877,39;601.031,46C
07/02/2024;NOTA FISCAL N§ 665948 ;3152;0224-00001332;;621,96;601.653,42C
07/02/2024;NOTA FISCAL N§ 665900 ;3152;0224-00001344;;73,46;601.726,88C
08/02/2024;PAGAMENTO DUPLICATA N§ 643604 ;92;0224-00000874;44,67;;601.682,21C
08/02/2024;PAGAMENTO DUPLICATA N§ 643620 ;92;0224-00000875;90,61;;601.591,60C
08/02/2024;PAGAMENTO DUPLICATA N§ 643649 ;92;0224-00000876;573,74;;601.017,86C
08/02/2024;PAGAMENTO DUPLICATA N§ 643746 ;92;0224-00000877;598,06;;600.419,80C
08/02/2024;NOTA FISCAL N§ 666687 ;3152;0224-00001334;;76,37;600.496,17C
08/02/2024;NOTA FISCAL N§ 666762 ;3152;0224-00001339;;611,16;601.107,33C
08/02/2024;NOTA FISCAL N§ 666850 ;3152;0224-00001358;;1.756,20;602.863,53C
08/02/2024;NOTA FISCAL N§ 666427 ;3152;0224-00001383;;255,77;603.119,30C
08/02/2024;NOTA FISCAL N§ 666742 ;3152;0224-00001396;;755,02;603.874,32C
09/02/2024;PAGAMENTO DUPLICATA N§ 640907 ;92;0224-00000854;282,97;;603.591,35C
09/02/2024;PAGAMENTO DUPLICATA N§ 640912 ;92;0224-00000855;312,07;;603.279,28C
09/02/2024;PAGAMENTO DUPLICATA N§ 641324 ;92;0224-00000861;506,28;;602.773,00C
09/02/2024;PAGAMENTO DUPLICATA N§ 644003 ;92;0224-00000878;339,21;;602.433,79C
09/02/2024;PAGAMENTO DUPLICATA N§ 644112 ;92;0224-00000880;118,73;;602.315,06C
09/02/2024;PAGAMENTO DUPLICATA N§ 644150 ;92;0224-00000881;30,65;;602.284,41C
09/02/2024;PAGAMENTO DUPLICATA N§ 644273 ;92;0224-00000883;198,26;;602.086,15C
09/02/2024;PAGAMENTO DUPLICATA N§ 644375 ;92;0224-00000885;781,62;;601.304,53C
09/02/2024;PAGAMENTO DUPLICATA N§ 644410 ;92;0224-00000888;781,62;;600.522,91C
09/02/2024;PAGAMENTO DUPLICATA N§ 648731 ;92;0224-00000923;87,92;;600.434,99C
09/02/2024;NOTA FISCAL N§ 666736 ;3152;0224-00001328;;100,75;600.535,74C
09/02/2024;NOTA FISCAL N§ 667325 ;3152;0224-00001374;;179,65;600.715,39C
09/02/2024;NOTA FISCAL N§ 666736 ;3152;0224-00001398;;750,57;601.465,96C
12/02/2024;PAGAMENTO DUPLICATA N§ 633571 ;92;0224-00000816;197,43;;601.268,53C
12/02/2024;PAGAMENTO DUPLICATA N§ 633822 ;92;0224-00000817;1.596,46;;599.672,07C
12/02/2024;PAGAMENTO DUPLICATA N§ 635045 ;92;0224-00000818;392,15;;599.279,92C
12/02/2024;PAGAMENTO DUPLICATA N§ 641834 ;92;0224-00000864;142,56;;599.137,36C
12/02/2024;PAGAMENTO DUPLICATA N§ 641933 ;92;0224-00000866;363,36;;598.774,00C
12/02/2024;PAGAMENTO DUPLICATA N§ 642200 ;92;0224-00000869;310,41;;598.463,59C
12/02/2024;PAGAMENTO DUPLICATA N§ 642802 ;92;0224-00000871;90,3;;598.373,29C
12/02/2024;PAGAMENTO DUPLICATA N§ 642964 ;92;0224-00000872;585,33;;597.787,96C
12/02/2024;PAGAMENTO DUPLICATA N§ 643492 ;92;0224-00000873;794,76;;596.993,20C
12/02/2024;PAGAMENTO DUPLICATA N§ 644952 ;92;0224-00000892;728,64;;596.264,56C
14/02/2024;PAGAMENTO DUPLICATA N§ 644043 ;92;0224-00000879;165,69;;596.098,87C
14/02/2024;PAGAMENTO DUPLICATA N§ 644234 ;92;0224-00000882;259,67;;595.839,20C
14/02/2024;PAGAMENTO DUPLICATA N§ 644302 ;92;0224-00000884;306,74;;595.532,46C
14/02/2024;PAGAMENTO DUPLICATA N§ 644376 ;92;0224-00000886;346,01;;595.186,45C
14/02/2024;PAGAMENTO DUPLICATA N§ 644389 ;92;0224-00000887;1.292,29;;593.894,16C
14/02/2024;PAGAMENTO DUPLICATA N§ 644536 ;92;0224-00000889;200,61;;593.693,55C
14/02/2024;PAGAMENTO DUPLICATA N§ 644566 ;92;0224-00000890;220,94;;593.472,61C
14/02/2024;PAGAMENTO DUPLICATA N§ 644662 ;92;0224-00000891;266,34;;593.206,27C
14/02/2024;NOTA FISCAL N§ 667985 ;3152;0224-00001386;;381,49;593.587,76C
14/02/2024;NOTA FISCAL N§ 667844 ;3152;0224-00001402;;567,39;594.155,15C
15/02/2024;NOTA FISCAL N§ 669173 ;3152;0224-00001322;;103,3;594.258,45C
15/02/2024;NOTA FISCAL N§ 669329 ;3152;0224-00001326;;134,66;594.393,11C
15/02/2024;NOTA FISCAL N§ 669329 ;3152;0224-00001331;;626,13;595.019,24C
15/02/2024;NOTA FISCAL N§ 669147 ;3152;0224-00001388;;270,99;595.290,23C
15/02/2024;NOTA FISCAL N§ 669059 ;3152;0224-00001394;;317,77;595.608,00C
15/02/2024;NOTA FISCAL N§ 669169 ;3152;0224-00001395;;1.291,01;596.899,01C
15/02/2024;NOTA FISCAL N§ 669173 ;3152;0224-00001400;;381,87;597.280,88C
16/02/2024;PAGAMENTO DUPLICATA N§ 645387 ;92;0224-00000897;1.146,32;;596.134,56C
16/02/2024;PAGAMENTO DUPLICATA N§ 645621 ;92;0224-00000899;1.209,38;;594.925,18C
16/02/2024;PAGAMENTO DUPLICATA N§ 645677 ;92;0224-00000901;3.637,75;;591.287,43C
16/02/2024;PAGAMENTO DUPLICATA N§ 648048 ;92;0224-00000912;53,07;;591.234,36C
16/02/2024;PAGAMENTO DUPLICATA N§ 648090 ;92;0224-00000913;89,92;;591.144,44C
16/02/2024;PAGAMENTO DUPLICATA N§ 648110 ;92;0224-00000914;16,48;;591.127,96C
16/02/2024;PAGAMENTO DUPLICATA N§ 648178 ;92;0224-00000915;255,25;;590.872,71C
